id,Category,Topic,Priority,Notes,PracticeExercise,link
1,.NET & C# Advanced,"Garbage Collection (Generations, LOH, Finalization, IDisposable)",High,Understand how the GC works to write memory-efficient code. Explain the Dispose pattern.,"Create a class that wraps an unmanaged resource (like a file stream). Implement the IDisposable pattern correctly, including a finalizer. Write client code to demonstrate its use with a 'using' statement and explain why both Dispose and the finalizer are needed.",https://nhonvo.github.io/posts/2025-09-06-garbage-collection
2,.NET & C# Advanced,"Async/Await Deep Dive (State Machine, SynchronizationContext, ConfigureAwait)",High,"Be ready to explain the async state machine and demonstrate with code how a deadlock can occur (e.g., in a UI or classic ASP.NET context) and how ConfigureAwait(false) helps prevent it.","Create a simple Console App that calls an async method and blocks on the result (e.g., using .Result or .Wait()). Explain why it deadlocks in some environments. Modify the async method to use ConfigureAwait(false) and explain why that resolves the issue.",https://nhonvo.github.io/posts/2025-09-06-async-await-deep-dive
3,.NET & C# Advanced,"LINQ Internals (IQueryable vs. IEnumerable, Deferred Execution)",High,Explain how this impacts database queries with Entity Framework.,"Using EF Core and an in-memory database, write a query against a DbSet<Product>. First, use .AsEnumerable() before a .Where() clause and inspect the generated query. Then, write the same logic but use .AsQueryable() (or just chain the .Where() directly) and explain the difference in the executed SQL.",https://nhonvo.github.io/posts/2025-09-06-linq-internals
4,.NET & C# Advanced,"Delegates, Events, Func<T>, Action<T>",High,Understand common use cases like event-driven architecture and callbacks.,Create a 'Worker' class that performs a long-running operation. Define an event in this class called 'ProgressChanged'. Create a UI or Console class that subscribes to this event and reports the progress. Trigger the event from within the worker's operation.,https://nhonvo.github.io/posts/2025-09-06-delegates-events-func-action
5,.NET & C# Advanced,"Dependency Injection (Scopes: Singleton, Scoped, Transient)",High,Explain the differences and when to use each scope in an ASP.NET Core application.,"In an ASP.NET Core API, create a simple service interface (e.g., IOperationLogger) and an implementation that has a unique ID (e.g., a Guid) set in its constructor. Register this service three times: once as Singleton, once as Scoped, and once as Transient. Inject all three into a controller and log their unique IDs on a single request to demonstrate the lifetime differences.",https://nhonvo.github.io/posts/2025-09-06-dependency-injection-scopes
6,.NET & C# Advanced,"Memory Management (Stack vs. Heap, Value vs. Reference Types, Boxing/Unboxing)",High,Focus on the performance implications of each.,"Write a function that takes an ArrayList (which stores objects) and adds a large number of integers (e.g., 1 million) to it. Then, write a second function that does the same thing but with a List<int>. Use a Stopwatch to measure the performance difference and explain why boxing/unboxing in the first function causes the overhead.",https://nhonvo.github.io/posts/2025-09-06-memory-management
7,.NET & C# Advanced,.NET Generic Host & Application Lifetime,Medium,Explain how background services and the application are managed in .NET Core.,Create a .NET Core Worker Service project. Implement a background service (IHostedService) that logs a message every 5 seconds. Configure it in Program.cs and explain how the Generic Host manages the startup and graceful shutdown of your service.,https://nhonvo.github.io/posts/2025-09-06-generic-host-application-lifetime
8,.NET & C# Advanced,Multithreading vs. Asynchronous Programming,High,"Clarify the difference and when to use constructs like Task, Thread, Parallel.For.","Write a method that processes a list of 100 items. Implement three versions: 1) a simple for-loop, 2) using Parallel.ForEach, and 3) using a list of Tasks with Task.WhenAll. For each item, simulate I/O-bound work (Task.Delay) and CPU-bound work (a tight loop). Discuss the performance and resource usage of each approach.",https://nhonvo.github.io/posts/2025-09-06-multithreading-vs-asynchronous
9,ASP.NET Core,Middleware Pipeline,High,Explain how the request pipeline is built and the importance of middleware ordering.,"Create a custom middleware component that logs the request path and a custom response header. Register it in the pipeline. Then, register a second piece of middleware that short-circuits the pipeline (doesn't call next). Demonstrate how changing the order of these two middleware components affects the application's behavior.",https://nhonvo.github.io/posts/2025-09-06-middleware-pipeline
10,ASP.NET Core,"Filters (Action, Authorization, Exception, Resource, Result)",High,Describe the filter pipeline and provide use cases for each type of filter.,Create a custom Action Filter attribute that logs the time it takes for an action method to execute. Apply this filter to a controller action and verify that it logs the timing information correctly.,https://nhonvo.github.io/posts/2025-09-06-filters
